freq,s21,
1000000,-30.00117586,
3930630,-29.93441438,
6861260,-29.95380188,
9791890,-29.94610221,
12722520,-29.94763948,
15653150,-29.95637333,
18583781,-29.97452956,
21514411,-29.97663497,
24445041,-29.98742985,
27375671,-29.97034962,
30306301,-29.99002728,
33236932,-29.98933097,
36167562,-29.99592698,
39098192,-29.98107737,
42028822,-29.98113012,
44959452,-29.98537607,
47890083,-29.98350532,
50820713,-29.97827259,
53751343,-29.97429413,
56681973,-29.96540643,
59612603,-29.96681908,
62543234,-29.98859793,
65473864,-29.96919135,
68404494,-29.97818949,
71335124,-29.98439748,
74265754,-29.99373829,
77196384,-29.99373174,
80127015,-30.0007991,
83057645,-30.00459682,
85988275,-30.00010435,
88918905,-30.0075736,
91849535,-29.98139511,
94780166,-30.00294229,
97710796,-30.00189807,
100641426,-30.00244291,
103572056,-30.00945057,
106502686,-30.00665472,
109433317,-30.00953808,
112363947,-30.00373187,
115294577,-30.00149455,
118225207,-30.00938526,
121155837,-30.00089506,
124086468,-30.01003816,
127017098,-30.01546376,
129947728,-30.01862004,
132878358,-30.02018008,
135808988,-30.02297826,
138739618,-30.01098296,
141670249,-30.00992446,
144600879,-30.00440811,
147531509,-30.01781853,
150462139,-30.0084867,
153392769,-30.01011564,
156323400,-30.0073858,
159254030,-30.00199339,
162184660,-30.00128778,
165115290,-29.99891306,
168045920,-29.99351761,
170976551,-29.99741786,
173907181,-30.00310643,
176837811,-30.00129749,
179768441,-30.00301752,
182699071,-30.00235796,
185629702,-30.00607562,
188560332,-30.00169083,
191490962,-30.00357495,
194421592,-30.00437428,
197352222,-30.00455097,
200282852,-30.00457741,
203213483,-30.00581198,
206144113,-30.01013654,
209074743,-29.99963285,
212005373,-29.9971883,
214936003,-29.98878831,
217866634,-29.98746266,
220797264,-29.99240777,
223727894,-29.98787673,
226658524,-29.98797966,
229589154,-29.99101308,
232519785,-29.9949267,
235450415,-29.9928984,
238381045,-30.00179843,
241311675,-30.00301542,
244242305,-29.99778626,
247172936,-30.00282625,
250103566,-30.00547846,
253034196,-29.99385513,
255964826,-30.00716804,
258895456,-30.00915713,
261826086,-30.00802456,
264756717,-30.0100414,
267687347,-30.01305725,
270617977,-30.01417545,
273548607,-30.01951375,
276479237,-30.01569947,
279409868,-30.02228527,
282340498,-30.02419472,
285271128,-30.02244127,
288201758,-30.02798552,
